titles,date-time,location,description
Exhibition: 'Perfectly Acceptable',"Wednesday, November 1, 2023 | 8am","Fenwick Gallery in Fenwick Library, Fairfax Campus","An exhibition of the work of Perfectly Acceptable Press, a Chicago-based zines and comics publisher. The exhibit highlights the process of contemporary Risograph printing and art book publishing, told through the archives of Perfectly Acceptable and through a deep dive into one of its publications, the award-winning comics Grip."
LDSSA Institute Class,"Wednesday, November 1, 2023 | 10:30am","Johnson Center, 334, Meeting Room E, Fairfax Campus","The Latter-Day Saints Student Association (LDSSA) is offering a Bible Study / Institute of Religion class meetings on campus open to all student and those who wish to learn more about God and Jesus Christ, seek to study the scriptures, the Bible, and the Book of Mormon, and gain a greater understanding and appreciation of the principles and doctrine within the scriptures."
GMU Toastmasters Club Meeting,"Wednesday, November 1, 2023 | 12pm","Merten Hall, 3300, Conference Room, Fairfax Campus",GMUT hosts biweekly hybrid meetings. These meetings welcome both in-person and online participants and offer an equally positive experience to both audiences. Guests are welcome to attend to learn more about Toastmasters and watch our meeting in action.
KDC Mythic Open Studio,"Wednesday, November 1, 2023 | 12pm","Johnson Center, G34, Dance Studio, Fairfax Campus","KDC Open Studio days are for members to hang out, practice dances or learn dances."
C-RASC Lunch&Learn Seminar Series: 'The Nexus of Emergency Management & Public Health',"Wednesday, November 1, 2023 | 12pm",Virtual Event Zoom Webinar,A C-RASC Lunch & Learn Seminar with Dr. Tonya E. Thornton discussing the nexus of emergency management and public health responses to the COVID-19 pandemic.
MS in Business Analytics Information Session,"Wednesday, November 1, 2023 | 12pm",Virtual Event Zoom,Join the School of Business for a virtual information session to learn about the brand-new Master of Science (MS) in Business Analytics!
Cru Women's Bible Study,"Wednesday, November 1, 2023 | 1pm","Johnson Center, 239A, Marion Deshmukh Seminar Room, Fairfax Campus",A Bible study for women in the Cru movement to join once a week. They will study a part of the Bible and have group discussions.
Study Room,"Wednesday, November 1, 2023 | 1:30pm","Peterson Hall, 1111, Classroom (CCF), Fairfax Campus",Study room for the sisters of Zeta Tau Alpha.
Student Leadership Forum,"Wednesday, November 1, 2023 | 3pm","Johnson Center, Bistro, Fairfax Campus","An event for student org. leaders to meet with panels on leadership, impact, and Mason."
Refugee Crisis Awareness,"Wednesday, November 1, 2023 | 4pm","Johnson Center, Georges, Fairfax Campus",The Brothers of Lambda Phi Epsilon and Phi Iota Alpha will be delivering a presentation on the current refugee crisis.
Science and Society Fall Lecture,"Wednesday, November 1, 2023 | 4pm","Merten Hall, 1202, Meeting Room, Fairfax Campus","Dr. Austin Renyolds, Ph.D. will present the Science and Society Fall Lecture entitled: Impacts of Colonialism in South Africa: Genetic, Demographic, and Health Perspectives"
MSA | Brothers Circle,"Wednesday, November 1, 2023 | 4:30pm","Johnson Center, 325, Meeting Room A, Fairfax Campus",RSVP here: https://mason360.gmu.edu/msa/home/
Beta Alpha Psi Firm Event,"Wednesday, November 1, 2023 | 5pm","Merten Hall, 1203, Meeting Room, Fairfax Campus",Networking event for business students.
MSA | Sister Circle,"Wednesday, November 1, 2023 | 5pm","Johnson Center, 337, Meeting Room G, Fairfax Campus",RSVP here: https://mason360.gmu.edu/msa/home/
Democrats at Mason - General Meeting,"Wednesday, November 1, 2023 | 5:30pm","The HUB, Meeting Room VIP II, Fairfax Campus",General body meeting for Democrats at Mason
Miss BSA Pageant Practice,"Wednesday, November 1, 2023 | 5:30pm","Johnson Center, G19, Gold Room, Fairfax Campus",Rehearsal for our Miss BSA Event
Black Mambas Practice,"Wednesday, November 1, 2023 | 6pm","The HUB, Meeting Room 1 & 2, Fairfax Campus",The Black Mambas are hosting dance practices to prepare for upcoming practices and competitions.
Doctorate Information Session | Global and Community Health,"Wednesday, November 1, 2023 | 6pm",Virtual Event Zoom,Join admissions and faculty from the Department of Global and Community Health to learn about the PhD in Public Health. This is a virtual session via Zoom and the meeting link will be sent in your confirmation email.
1Eighty Bible Study,"Wednesday, November 1, 2023 | 6:30pm","Planetary Hall, 129, Classroom (BC), Fairfax Campus","Join us for our weekly time of good fellowship, fun, and Bible study!"
The Economics Society Meeting,"Wednesday, November 1, 2023 | 6:30pm","Horizon Hall, 2010, Classroom (ALC), Fairfax Campus","The Economics Society will be meeting to learn, debate, and network."
Science and Society Fall Lecture,"Wednesday, November 1, 2023 | 4pm","Merten Hall, 1202, Meeting Room, Fairfax Campus","Dr. Austin Renyolds, Ph.D. will present the Science and Society Fall Lecture entitled: Impacts of Colonialism in South Africa: Genetic, Demographic, and Health Perspectives"
MSA | Brothers Circle,"Wednesday, November 1, 2023 | 4:30pm","Johnson Center, 325, Meeting Room A, Fairfax Campus",RSVP here: https://mason360.gmu.edu/msa/home/
Beta Alpha Psi Firm Event,"Wednesday, November 1, 2023 | 5pm","Merten Hall, 1203, Meeting Room, Fairfax Campus",Networking event for business students.
MSA | Sister Circle,"Wednesday, November 1, 2023 | 5pm","Johnson Center, 337, Meeting Room G, Fairfax Campus",RSVP here: https://mason360.gmu.edu/msa/home/
Democrats at Mason - General Meeting,"Wednesday, November 1, 2023 | 5:30pm","The HUB, Meeting Room VIP II, Fairfax Campus",General body meeting for Democrats at Mason
Miss BSA Pageant Practice,"Wednesday, November 1, 2023 | 5:30pm","Johnson Center, G19, Gold Room, Fairfax Campus",Rehearsal for our Miss BSA Event
Black Mambas Practice,"Wednesday, November 1, 2023 | 6pm","The HUB, Meeting Room 1 & 2, Fairfax Campus",The Black Mambas are hosting dance practices to prepare for upcoming practices and competitions.
Doctorate Information Session | Global and Community Health,"Wednesday, November 1, 2023 | 6pm",Virtual Event Zoom,Join admissions and faculty from the Department of Global and Community Health to learn about the PhD in Public Health. This is a virtual session via Zoom and the meeting link will be sent in your confirmation email.
1Eighty Bible Study,"Wednesday, November 1, 2023 | 6:30pm","Planetary Hall, 129, Classroom (BC), Fairfax Campus","Join us for our weekly time of good fellowship, fun, and Bible study!"
The Economics Society Meeting,"Wednesday, November 1, 2023 | 6:30pm","Horizon Hall, 2010, Classroom (ALC), Fairfax Campus","The Economics Society will be meeting to learn, debate, and network."
